ID,RA[hr],Dec[deg],ID_Simbad,ID_MWSC,ID_WEBDA,ID_Piskunov,ID_Kharchenko,ID_Salaris,ID_vandenBergh,ID_Cantat-Gaudin,ID_Lynga,dist[pc],err_dist[pc],N_dist[pc],age[Myr],err_age[Myr],N_age[Myr],[Fe/H],err_[Fe/H],N_[Fe/H],mass[Msun],err_mass[Msun],N_mass[Msun],rgc[pc],err_rgc[pc],N_rgc[pc],rhm[pc],err_rhm[pc],N_rhm[pc],Av[mag],err_Av[mag],N_Av[mag]
ESO_139-54,18 04 37.000,-58 31 30.000,ESO_139-54,ESO_139-54,,,ESO_139-54,,,,,985.0,0.0,2.0,977.2372209558112,0.0,2.0,,,,21.5,0.0,2.0,,,,1.0517741519312838,0.0,1.0,0.3328,0.0,1.0
[KPS2012]_MWSC_1944,11 27 40.080,-58 28 15.600,[KPS2012]_MWSC_1944,FSR_1580,,,FSR_1580,,,FSR_1580,,3834.866666666667,1080.932606937519,3.0,794.3282347242822,0.0,2.0,,,,15.0,3.2659863237109046,3.0,8412.4,0.0,1.0,1.9427156087025979,0.2635674012333551,1.0,2.0,0.0,1.0
[KPR2005]_60,10 33 09.000,-58 28 54.000,[KPR2005]_60,ASCC_60,ASCC_60,ASCC_60,ASCC_60,,,,,961.0,80.5,4.0,126.03776292736043,39.190363205466014,4.0,,,,50.48840020405666,17.82620676850718,4.0,,,,4.779114128950922,0.0,1.0,0.3797333333333334,0.04877206243408284,3.0
C_1128-582,11 31 04.560,-58 30 25.200,C_1128-582,Loden_372,Loden_372,Loden_372,Loden_372,,,Loden_372,Loden_372,1307.76,92.81955656002671,5.0,195.30565385109605,61.589171340541796,4.0,,,,26.034623988012623,6.995206915462364,6.0,7841.8,0.0,1.0,1.9808385762530696,0.6578228926271685,1.0,1.2309333333333334,0.04006276557085382,3.0
C_1328-582,13 32 00.480,-58 30 32.400,C_1328-582,Ruprecht_108,Ruprecht_108,Ruprecht_108,Ruprecht_108,,Ruprecht_108,Ruprecht_108,Ruprecht_108,895.3142857142857,32.3163409007398,7.0,267.53172747585313,82.91377260358364,5.0,,,,48.75018026120526,16.297166645302447,6.0,7765.5,0.0,1.0,1.149167792870889,0.1665907023233917,1.0,0.44266666666666676,0.0031401816413610226,3.0
[DBS2003]_139,15 10 01.000,-58 25 36.000,[DBS2003]_139,DBSB_139,,,DBSB_139,,,,,1950.0,0.0,2.0,31.622776601683793,0.0,2.0,,,,24.5,0.0,2.0,,,,1.605339495053012,0.0,1.0,5.462400000000001,0.0,1.0
ESO_130-11,12 16 55.000,-58 25 00.000,ESO_130-11,Ruprecht_103,,,Ruprecht_103,,,,Ruprecht_103,1298.0,0.0,2.0,1288.2495516931322,0.0,2.0,,,,29.666666666666668,8.028883045789307,3.0,,,,0.9595132614109958,0.0,1.0,1.3312,0.0,1.0
[KPS2012]_MWSC_2061,12 40 48.000,-58 24 36.000,[KPS2012]_MWSC_2061,FSR_1625,,,FSR_1625,,,,,2269.0,0.0,2.0,749.8942093324558,0.0,2.0,,,,65.5,0.0,2.0,,,,3.7088877989155793,0.0,1.0,2.1984000000000004,0.0,1.0
C_1153-581,11 55 37.000,-58 23 24.000,C_1153-581,Loden_480,Loden_480,Loden_480,Loden_480,,,,Loden_480,1252.5,26.25,4.0,380.98646281147717,107.49337485661886,4.0,,,,78.13869602389778,23.96505460567133,4.0,,,,0.9041567270988229,0.0,1.0,0.8618666666666667,0.08012553114170752,3.0
C_1356-581,13 59 22.000,-58 23 00.000,C_1356-581,Loden_1171,Loden_1171,Loden_1171,Loden_1171,,,,Loden_1171,644.5,72.25,4.0,267.09464577875144,77.80515585621657,4.0,,,,18.81290226685249,5.954256570022382,5.0,,,,1.0702263300353414,0.0,1.0,0.6400000000000001,0.0,3.0
